home_team,away_team,home_score,away_score,Attendance,Venue,Round,Date,Score,Host,Year,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21
Bulgaria,Netherlands,1,4,53300,"Westfalenstadion, Dortmund",First round,23-06-1974,1–4,Germany,1974,Johnny Rep · 71|Theo de Jong · 88,,"['71&rsquor;|0:3|Johnny Rep', '88&rsquor;|1:4|Theo de Jong']",Ruud Krol (OG) · 78,,,Johan Neeskens (P) · 5|Johan Neeskens (P) · 45,,,,,,,,,,,['67&rsquor;|0:2|Georgi Denev'],"['5&rsquor;|0:0|Wim Jansen', '22&rsquor;|0:1|Willem van Hanegem', '29&rsquor;|0:1|Johan Cruyff']","['46&rsquor;|0:2|Atanas Mihaylov|for Ivan Stoyanov', '55&rsquor;|0:2|Krasimir Borisov|for Pavel Panov']","['46&rsquor;|0:2|Rinus Israël|for Willem van Hanegem', '79&rsquor;|1:3|Theo de Jong|for Johan Neeskens']"
Poland,Italy,2,1,70100,"Neckarstadion, Stuttgart",First round,23-06-1974,2–1,Germany,1974,Fabio Capello · 85,"['38&rsquor;|1:0|Andrzej Szarmach', '44&rsquor;|2:0|Kazimierz Deyna']",['85&rsquor;|2:1|Fabio Capello'],,,,,,,,,,,,,,,"['25&rsquor;|0:0|Henryk Kasperczak', '84&rsquor;|2:0|Adam Musiał']",['71&rsquor;|2:0|Roberto Boninsegna'],['78&rsquor;|2:0|Lesław Ćmikiewicz'],"['33&rsquor;|0:0|Giuseppe Wilson|for Tarcisio Burgnich', '46&rsquor;|2:0|Roberto Boninsegna|for Giorgio Chinaglia']"
Sweden,Uruguay,3,0,28300,"Rheinstadion, Dï¿½Sseldorf",First round,23-06-1974,3–0,Germany,1974,,"['46&rsquor;|1:0|Ralf Edström', '74&rsquor;|2:0|Roland Sandberg', '77&rsquor;|3:0|Ralf Edström']",,,,,,,,,,,,,,,,,['1&rsquor;|0:0|Baudilio Jáuregui'],"['60&rsquor;|1:0|Thomas Ahlström|for Benno Magnusson', '76&rsquor;|2:0|Conny Torstensson|for Ove Kindvall']","['43&rsquor;|0:0|Luis Cubilla|for Romeo Corbo', '46&rsquor;|1:0|Juan Carlos Masnik|for Luis Garisto']"
Argentina,Haiti,4,1,25900,"Olympiastadion, Munich",First round,23-06-1974,4–1,Germany,1974,Emmanuel Sanon · 63,"['15&rsquor;|1:0|Héctor Yazalde', '18&rsquor;|2:0|René Houseman', '55&rsquor;|3:0|Rubén Ayala', '68&rsquor;|4:1|Héctor Yazalde']",['63&rsquor;|3:1|Emmanuel Sanon'],,,,,,,,,,,,,,,"['26&rsquor;|2:0|Carlos Babington', '60&rsquor;|3:0|Ramón Heredia']",['60&rsquor;|3:0|Fritz Leandré'],"['52&rsquor;|2:0|Agustín Balbuena|for Mario Kempes', '57&rsquor;|3:0|Miguel Ángel Brindisi|for René Houseman']","['25&rsquor;|2:0|Joseph-Marion Leandré|for Wilner Nazaire', '52&rsquor;|2:0|Fritz Leandré|for Guy Saint-Vil']"
Scotland,Yugoslavia,1,1,56000,"Waldstadion, Frankfurt/Main",First round,22-06-1974,1–1,Germany,1974,Stanislav Karasi · 81,['88&rsquor;|1:1|Joe Jordan'],['81&rsquor;|0:1|Stanislav Karasi'],,,,,,,,,,,,,,,"['60&rsquor;|0:0|Joe Jordan', '70&rsquor;|0:0|David Hay']","['24&rsquor;|0:0|Branko Oblak', '55&rsquor;|0:0|Josip Katalinski', '70&rsquor;|0:0|Dušan Bajević']",['65&rsquor;|0:0|Tommy Hutchison|for Kenny Dalglish'],['70&rsquor;|0:0|Stanislav Karasi|for Dušan Bajević']
Australia,Chile,0,0,17400,"Olympiastadion, Berlin West",First round,22-06-1974,0–0,Germany,1974,,,,,,,,,,,,,,Ray Richards · 83,,,,['37&rsquor;|0:0|Ray Richards'],,"['65&rsquor;|0:0|Peter Ollerton|for Adrian Alston', '82&rsquor;|0:0|Harry Williams|for Colin Curran']","['57&rsquor;|0:0|Rogelio Farías|for Francisco Valdés', '72&rsquor;|0:0|Guillermo Yávar|for Leonardo Véliz']"
Zaire,Brazil,0,3,36200,"Parkstadion, Gelsenkirchen",First round,22-06-1974,0–3,Germany,1974,Jairzinho · 12|Rivellino · 66|Valdomiro Vaz Franco · 79,,"['12&rsquor;|0:1|Jairzinho', '66&rsquor;|0:2|Rivellino', '79&rsquor;|0:3|Valdomiro Vaz Franco']",,,,,,,,,,,,,,,['78&rsquor;|0:2|Mwepu Ilunga'],['77&rsquor;|0:2|Mirandinha'],"['61&rsquor;|0:1|Kilasu Massamba|for Kamunda Tshinabu', '62&rsquor;|0:1|Kembo Uba Kembo|for Kidumu Mantantu']","['10&rsquor;|0:0|Valdomiro Vaz Franco|for Leivinha', '59&rsquor;|0:1|Mirandinha|for Wilson da Silva Piazza']"
Germany DR,West Germany,1,0,60200,"Volksparkstadion, Hamburg",First round,22-06-1974,1–0,Germany,1974,,['77&rsquor;|1:0|Jürgen Sparwasser'],,,,,,,,,,,,,,,,"['27&rsquor;|0:0|Jürgen Sparwasser', '81&rsquor;|1:0|Jürgen Croy', '84&rsquor;|1:0|Hans-Jürgen Kreische']",,['65&rsquor;|0:0|Erich Hamann|for Harald Irmscher'],"['68&rsquor;|0:0|Horst-Dieter Höttges|for Hans-Georg Schwarzenbeck', '69&rsquor;|0:0|Günter Netzer|for Wolfgang Overath']"
Haiti,Poland,0,7,25300,"Olympiastadion, Munich",First round,19-06-1974,0–7,Germany,1974,Grzegorz Lato · 17|Kazimierz Deyna · 18|Andrzej Szarmach · 30|Jerzy Gorgoń · 31|Andrzej Szarmach · 34|Andrzej Szarmach · 50|Grzegorz Lato · 87,,"['17&rsquor;|0:1|Grzegorz Lato', '18&rsquor;|0:2|Kazimierz Deyna', '30&rsquor;|0:3|Andrzej Szarmach', '31&rsquor;|0:4|Jerzy Gorgoń', '34&rsquor;|0:5|Andrzej Szarmach', '50&rsquor;|0:6|Andrzej Szarmach', '87&rsquor;|0:7|Grzegorz Lato']",,,,,,,,,,,,,,,['1&rsquor;|0:0|Pierre Bayonne'],,"['37&rsquor;|0:5|Claude Barthélemy|for Fritz André', '46&rsquor;|0:5|Serge Racine']","['65&rsquor;|0:6|Lesław Ćmikiewicz|for Zygmunt Maszczyk', '71&rsquor;|0:6|Zbigniew Gut|for Adam Musiał']"
Bulgaria,Uruguay,1,1,13400,"Niedersachsenstadion, Hanover",First round,19-06-1974,1–1,Germany,1974,Ricardo Pavoni · 87,['75&rsquor;|1:0|Hristo Bonev'],['87&rsquor;|1:1|Ricardo Pavoni'],,,,,,,,,,,,,,,['9&rsquor;|0:0|Tsonyo Vasilev'],['44&rsquor;|0:0|Víctor Espárrago'],['59&rsquor;|0:0|Atanas Mihaylov|for Asparuh Nikodimov'],"['62&rsquor;|0:0|Alberto Cardaccio|for Walter Mantegazza', '73&rsquor;|0:0|Juan Carlos Masnik|for Luis Garisto']"
